,,,,命中率,,,,,,,,,,,,直接攻擊,間接攻擊,廣範圍, 攻擊時使用,防禦時使用,ECM影響,移動攻擊,飛彈編號,射擊間隔
,副名稱,射程,火力,超高空, 高空,低空,裝甲,非裝甲,海上,海中,飛彈,巡弋飛彈,轟炸力,種類,彈藥價格,,,,,,,,,
37mm機關砲,航空戰,1,3,0,32,44,0,0,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
30mm機關砲,航空戰,1,2,0,63,66,0,0,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
30mm機關砲,航空戰B,1,2,0,61,64,0,0,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
30mm機關砲,航空戰C,1,2,0,60,63,0,0,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
30mm機關砲,航空戰D,1,2,0,54,58,0,0,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
27mm機關砲,航空戰,1,2,0,62,63,0,0,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
27mm機關砲,航空戰B,1,2,0,61,62,0,0,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
25mm機關砲,航空戰,1,2,0,63,66,0,0,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
25mm機關砲,航空戰B,1,2,0,60,61,0,0,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
23mm機關砲,航空戰,1,2,0,58,60,0,0,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
23mm機關砲,航空戰B,1,2,0,55,58,0,0,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
20mm火神砲,航空戰,1,2,0,62,66,0,0,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
20mm火神砲,航空戰B,1,2,0,60,65,0,0,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
20mm火神砲,航空戰C,1,2,0,59,64,0,0,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
20mm火神砲,航空戰D,1,2,0,55,63,0,0,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
20mm機關砲,航空戰,1,2,0,57,59,0,0,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
20mm機關砲,航空戰B,1,2,0,53,56,0,0,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
機關槍,航空戰,1,1,0,54,57,0,0,0,0,0,0,0,通常,0,○,×,×,○,○,×,○,0,0

30mm格林機砲,航空攻,1,3,0,28,54,63,58,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
30mm機關砲,航空攻,1,2,0,52,60,42,50,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
30mm機關砲,航空攻B,1,2,0,50,66,41,48,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
27mm機關砲,航空攻,1,2,0,49,62,38,47,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
23mm機關砲,航空攻,1,2,0,46,60,26,46,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
23mm機關砲,航空攻B,1,2,0,44,60,33,44,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
20mm火神砲,航空攻,1,2,0,47,64,34,50,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
20mm火神砲,航空攻B,1,2,0,45,64,32,48,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
20mm機關砲,航空攻,1,2,0,40,59,26,41,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
20mm機關砲,航空攻B,1,2,0,37,59,25,40,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
迷你砲,航空攻,1,2,0,22,35,6,56,0,0,0,0,0,通常,1,○,×,×,○,○,×,○,0,0
機關槍,航空攻,1,1,0,40,55,0,40,0,0,0,0,0,通常,0,○,×,×,○,○,×,○,0,0

105mm砲,航空,1,3,0,0,0,72,56,36,0,0,0,0,大砲,1,○,×,×,○,×,×,○,0,0
40/25mm機關砲,航空,1,3,0,0,0,52,70,28,0,0,0,0,通常,1,○,×,×,○,×,×,○,0,0
40/20mm機關砲,航空,1,3,0,0,0,50,66,28,0,0,0,0,通常,1,○,×,×,○,×,×,○,0,0

23mm機關砲,航空防,1,2,0,24,25,0,0,0,0,0,0,0,通常,1,○,×,×,×,○,×,×,0,0
20mm機關砲,航空防,1,2,0,25,26,0,0,0,0,0,0,0,通常,1,○,×,×,×,○,×,×,0,0
20mm機關砲,航空防B,1,2,0,23,24,0,0,0,0,0,0,0,通常,1,○,×,×,×,○,×,×,0,0

AAM-4,ARAAM,5,3,46,84,64,0,0,0,0,0,45,0,飛彈,22,○,○,×,○,○,○,○,0,0
AIM-120 AMRAAM,ARAAM,4,3,54,89,70,0,0,0,0,0,42,0,飛彈,20,○,○,×,○,○,○,○,0,0
AIM-120 AMRAAM,ARAAM_2,4,3,51,86,67,0,0,0,0,0,40,0,飛彈,20,○,○,×,○,○,○,○,0,0
Rb.99,AIM-120,4,3,54,89,70,0,0,0,0,0,42,0,飛彈,20,○,○,×,○,○,○,○,0,0
AIM-54 鳳凰,AAM,6,4,45,65,30,0,0,0,0,0,28,0,飛彈,25,×,○,×,○,×,○,○,0,0
AIM-7M 麻雀,AAM,3,3,30,77,66,0,0,0,0,0,27,0,飛彈,10,×,○,×,○,×,○,○,0,0
AIM-7F 麻雀,AAM,3,3,26,73,60,0,0,0,0,0,23,0,飛彈,8,×,○,×,○,×,○,○,0,0
AIM-7B 麻雀,AAM,2,3,15,60,24,0,0,0,0,0,18,0,飛彈,6,○,○,×,○,×,○,○,0,0
天光,AAM,4,3,28,75,61,0,0,0,0,0,30,0,飛彈,12,×,○,×,○,×,○,○,0,0
Rb.71,天光,4,3,28,75,61,0,0,0,0,0,30,0,飛彈,12,×,○,×,○,×,○,○,0,0
蝮蛇,AAM,3,3,24,76,65,0,0,0,0,0,22,0,飛彈,10,×,○,×,○,×,○,○,0,0
霹靂11,蝮蛇,3,3,24,75,64,0,0,0,0,0,20,0,飛彈,10,×,○,×,○,○,○,○,0,0
Rb.27,AIM-26B,1,3,0,66,28,0,0,0,0,0,0,0,飛彈,3,○,×,×,○,×,○,○,0,0
MICA,ARAAM,4,3,55,86,68,0,0,0,0,0,40,0,飛彈,20,○,○,×,○,○,○,○,0,0
超級530,AAM,3,3,29,78,64,0,0,0,0,0,24,0,飛彈,11,×,○,×,○,×,○,○,0,0
R-530,AAM,2,3,24,70,56,0,0,0,0,0,21,0,飛彈,6,○,○,×,○,○,○,○,0,0
達比,ARAAM,4,3,48,79,70,0,0,0,0,0,56,0,飛彈,18,○,○,×,○,○,○,○,0,0
V-4 R-Darter,ARAAM,3,3,40,78,70,0,0,0,0,0,42,0,飛彈,15,○,○,×,○,○,○,○,0,0
天劍Ⅱ,AAM,3,3,26,78,67,0,0,0,0,0,27,0,飛彈,10,×,○,×,○,×,○,○,0,0

R-37,ARAAM,6,4,50,80,57,0,0,0,0,0,33,0,飛彈,55,○,○,×,○,○,○,○,0,0
R-33,AA-9,5,4,38,70,32,0,0,0,0,0,30,0,飛彈,25,×,○,×,○,×,○,○,0,0
R-40,AA-6,3,4,36,72,22,0,0,0,0,0,15,0,飛彈,15,×,○,×,○,×,○,○,0,0
R-77,AA-12,4,3,42,86,78,0,0,0,0,0,40,0,飛彈,18,○,○,×,○,○,○,○,0,0
R-27,AA-10,3,3,34,80,64,0,0,0,0,0,28,0,飛彈,12,×,○,×,○,×,○,○,0,0
R-23,AA-7,2,3,15,75,62,0,0,0,0,0,24,0,飛彈,10,○,○,×,○,○,○,○,0,0
R-98,AA-3,2,3,12,55,32,0,0,0,0,0,20,0,飛彈,6,○,○,×,○,×,○,○,0,0

飛箭,AAM,4,3,36,82,74,0,0,0,0,0,33,0,飛彈,15,○,○,×,○,○,○,○,0,0

AAM-5,IRAAM,1,3,0,86,76,0,0,0,0,0,60,0,飛彈,5,○,×,×,○,○,×,○,0,0
AAM-3,IRAAM,1,3,0,80,72,0,0,0,0,0,52,0,飛彈,4,○,×,×,○,○,×,○,0,0
AIM-9X響尾蛇,IRAAM,1,3,0,86,75,0,0,0,0,0,65,0,飛彈,5,○,×,×,○,○,×,○,0,0
AIM-9L響尾蛇,IRAAM,1,3,0,78,70,0,0,0,0,0,46,0,飛彈,4,○,×,×,○,○,×,○,0,0
AIM-9L響尾蛇,IRAAM_2,1,3,0,75,68,0,0,0,0,0,44,0,飛彈,4,○,×,×,○,○,×,○,0,0
Rb.74,AIM-9L,1,3,0,78,70,0,0,0,0,0,46,0,飛彈,4,○,×,×,○,○,×,○,0,0
Rb.24,AIM-9P,1,3,0,66,42,0,0,0,0,0,18,0,飛彈,3,○,×,×,○,○,×,○,0,0
AIM-9D響尾蛇,IRAAM,1,3,0,64,42,0,0,0,0,0,18,0,飛彈,3,○,×,×,○,○,×,○,0,0
AIM-9B響尾蛇,IRAAM,1,3,0,60,38,0,0,0,0,0,10,0,飛彈,2,○,×,×,○,○,×,○,0,0
AIM-4 獵鷹,IRAAM,1,3,0,54,34,0,0,0,0,0,0,0,飛彈,2,○,×,×,○,○,×,○,0,0
Rb.28,AIM-4,1,3,0,54,34,0,0,0,0,0,0,0,飛彈,2,○,×,×,○,○,×,○,0,0
ASRAAM,IRAAM,1,3,0,83,76,0,0,0,0,0,56,0,飛彈,4,○,×,×,○,○,×,○,0,0
ASRAAM,IRAAM_2,1,3,0,80,74,0,0,0,0,0,55,0,飛彈,4,○,×,×,○,○,×,○,0,0
紅頂草,IRAAM,1,3,0,63,36,0,0,0,0,0,10,0,飛彈,2,○,×,×,○,○,×,○,0,0
R-550 魔術2,IRAAM,1,3,0,76,71,0,0,0,0,0,40,0,飛彈,4,○,×,×,○,○,×,○,0,0
R-550 魔術,IRAAM,1,3,0,71,54,0,0,0,0,0,26,0,飛彈,2,○,×,×,○,○,×,○,0,0
巨蟒5,IRAAM,1,3,0,85,79,0,0,0,0,0,64,0,飛彈,5,○,×,×,○,○,×,○,0,0
巨蟒4,IRAAM,1,3,0,82,77,0,0,0,0,0,56,0,飛彈,4,○,×,×,○,○,×,○,0,0
巨蟒3,IRAAM,1,3,0,76,73,0,0,0,0,0,48,0,飛彈,3,○,×,×,○,○,×,○,0,0
蜻蜓2,IRAAM,1,3,0,65,41,0,0,0,0,0,18,0,飛彈,2,○,×,×,○,○,×,○,0,0
U-Darter,IRAAM,1,3,0,82,78,0,0,0,0,0,54,0,飛彈,4,○,×,×,○,○,×,○,0,0
V-3C Darter,IRAAM,1,3,0,72,54,0,0,0,0,0,26,0,飛彈,2,○,×,×,○,○,×,○,0,0
天劍Ⅰ,IRAAM,1,3,0,78,74,0,0,0,0,0,49,0,飛彈,4,○,×,×,○,○,×,○,0,0
R-73,AA-11,2,3,0,80,78,0,0,0,0,0,66,0,飛彈,5,○,○,×,○,○,×,○,0,0
R-60,AA-8,1,3,0,72,72,0,0,0,0,0,54,0,飛彈,4,○,×,×,○,○,×,○,0,0
R-60,AA-8_2,1,3,0,69,69,0,0,0,0,0,50,0,飛彈,4,○,×,×,○,○,×,○,0,0
R-13,AA-2‧D,1,3,0,66,54,0,0,0,0,0,32,0,飛彈,3,○,×,×,○,○,×,○,0,0
R-3R,AA-2‧C,1,3,0,68,46,0,0,0,0,0,16,0,飛彈,2,○,×,×,○,○,×,○,0,0
K-5,AA-1,1,3,0,50,25,0,0,0,0,0,0,0,飛彈,2,○,×,×,○,○,×,○,0,0
霹靂9,IRAAM,1,3,0,76,74,0,0,0,0,0,44,0,飛彈,4,○,×,×,○,○,×,○,0,0
霹靂7,IRAAM,1,3,0,70,70,0,0,0,0,0,32,0,飛彈,3,○,×,×,○,○,×,○,0,0
霹靂5,IRAAM,1,3,0,66,56,0,0,0,0,0,29,0,飛彈,2,○,×,×,○,○,×,○,0,0
霹靂2,R-13,1,3,0,64,52,0,0,0,0,0,28,0,飛彈,2,○,×,×,○,○,×,○,0,0

AGM-65 小牛,aATM,2,5,0,0,0,76,18,50,0,0,0,0,飛彈,15,○,○,×,○,×,×,○,0,0
硫磺,aATM,2,5,0,0,0,78,36,50,0,0,0,0,飛彈,15,○,○,×,○,×,×,○,0,0
AGM-12 犢牛,aATM,1,3,0,0,0,57,63,46,0,0,0,1,飛彈,6,○,×,×,○,×,×,○,0,0
AGM-114 地獄火,UAV,1,4,0,0,0,72,36,50,0,0,0,0,飛彈,12,○,×,×,○,×,○,○,0,0

ASM-2,ASM,6,6,0,0,0,0,0,61,0,0,0,0,飛彈,55,×,○,×,○,×,○,○,0,0
ASM-1,ASM,4,6,0,0,0,0,0,58,0,0,0,0,飛彈,45,×,○,×,○,×,○,○,0,0
AGM-84 魚叉,ASM,7,6,0,0,0,0,0,63,0,0,0,0,飛彈,50,×,○,×,○,×,○,○,0,0
AGM-84魚叉,ASM_2,7,6,0,0,0,0,0,60,0,0,0,0,飛彈,50,×,○,×,○,×,○,○,0,0
海鷹,ASM,7,4,0,0,0,0,0,60,0,0,0,0,飛彈,45,×,○,×,○,×,○,○,0,0
AS-34 高摩倫,ASM,3,4,0,0,0,0,0,70,0,0,0,0,飛彈,35,×,○,×,○,×,○,○,0,0
AS-37戰鎚,ASM,3,8,0,0,0,0,0,55,0,0,0,0,飛彈,35,×,○,×,○,×,○,○,0,0
飛魚 AM39,ASM,5,5,0,0,0,0,0,64,0,0,0,0,飛彈,35,×,○,×,○,×,○,○,0,0
Rbs.15F,ASM,6,7,0,0,0,0,0,62,0,0,0,0,飛彈,50,×,○,×,○,×,○,○,0,0
企鵝 Mk.3,ASM,2,5,0,0,0,0,0,71,0,0,0,0,飛彈,25,×,○,×,○,×,○,○,0,0
加百列4LR,ASM,7,6,0,0,0,0,0,64,0,0,0,0,飛彈,55,×,○,×,○,×,○,○,0,0
加百列3AS,ASM,4,6,0,0,0,0,0,66,0,0,0,0,飛彈,45,×,○,×,○,×,○,○,0,0
