,,使用,高度,移動類型,兵器類型,性能,編成數,耐久度,生產回合,生產計數,特殊能力,,,,,,,,,,,掃除地雷,掃除機雷,夜間減少率,索敵範圍,,,,,,迎擊範圍,,,,,,價格,搭載種類,,,,,,,,,,,,,,,,搭乘種類,搭載地點,回避力,,,,,,,補給,,,,,,,,,初期武裝套組,變形編號,武裝１,副屬,攻擊判定次數,裝填時間,武裝２,副屬,攻擊判定次數,裝填時間,武裝３,副屬,攻擊判定次數,裝填時間,武裝４,副屬,攻擊判定次數,裝填時間,武裝５,副屬,攻擊判定次數,裝填時間,武裝套組１,,,,,,高速移動力,ECM回避力,,武裝套組２,,,,,,高速移動力,ECM回避力,,武裝套組３,,,,,,高速移動力,ECM回避力,,武裝套組４,,,,,,高速移動力,ECM回避力,,圖像編號,兵器移動聲,地圖圖像,地圖圖像小,兵器別圖示
,,,,,,,,,,,隱形RANK,隱蔽RANK,水中隱蔽RANK,ECM,反潛巡邏,佔領,工兵,工作,空降,可以生產,裝甲,,,,超高空,高空,低空,地上,海上,海中,超高空,高空,低空,地上,海上,海中,,機庫1,限制機數,機庫2,限制機數,機庫3,限制機數,機庫4,限制機數,機庫5,限制機數,機庫6,限制機數,機庫7,限制機數,機庫8,限制機數,,,超高空,高空,低空,裝甲,非裝甲,海上,海中,空中加油機,補給車,補給艦,運輸機,運輸直昇機,運輸車,航空母艦,登陸艦,運輸艦,,,名稱,,,,名稱,,,,名稱,,,,名稱,,,,名稱,,,,１次數,２次數,３次數,４次數,５次數,移動力,,,燃料,１次數,２次數,３次數,４次數,５次數,移動力,,,燃料,１次數,２次數,３次數,４次數,５次數,移動力,,,燃料,１次數,２次數,３次數,４次數,５次數,移動力,,,燃料,,,,,
2,F-22A猛禽,○,高空,高空,戰鬥機,0,10,2,4,30,2,0,0,0,×,×,×,×,×,○,×,×,×,70,4,5,4,2,2,1,3,3,3,0,0,0,1200,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,48,48,45,40,40,38,38,○,×,×,×,×,×,×,×,×,0,0,AIM-120 AMRAAM,ARAAM,1,10,AIM-9X響尾蛇,IRAAM,1,8,導引炸彈,航空,1,20,20mm火神砲,航空戰,2,6,,,,,3,1,0,3,0,15,17,20,120,1,1,1,3,0,14,17,20,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,202
3,YF-23灰色幽靈,○,高空,高空,戰鬥機,0,10,2,4,36,2,0,0,0,×,×,×,×,×,○,×,×,×,70,4,5,3,2,2,1,3,3,3,0,0,0,1500,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,42,42,44,36,36,38,38,○,×,×,×,×,×,×,×,×,0,0,AIM-120 AMRAAM,ARAAM,1,10,AIM-9X響尾蛇,IRAAM,1,8,導引炸彈,航空,1,20,20mm火神砲,航空戰,2,6,,,,,4,0,0,3,0,16,17,20,110,2,2,0,3,0,16,17,20,110,1,0,1,3,0,15,17,20,110,0,0,0,0,0,0,0,0,0,3,0,1,1,239
5,F-15C 鷹式,○,高空,高空,戰鬥機,0,10,2,3,10,0,0,0,0,×,×,×,×,×,○,×,×,×,50,3,5,4,2,2,1,2,2,0,0,0,0,580,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,44,44,46,34,34,35,35,○,×,×,×,×,×,×,×,×,0,0,AIM-120 AMRAAM,ARAAM,1,10,AIM-9L響尾蛇,IRAAM,1,8,導引炸彈,航空C,1,20,20mm火神砲,航空戰,2,6,,,,,2,2,0,3,0,13,17,0,120,0,2,2,3,0,12,16,0,90,4,0,0,3,0,13,17,0,110,0,0,0,0,0,0,0,0,0,5,0,1,1,203
6,F-15J改 鷹式,○,高空,高空,戰鬥機,0,10,2,3,12,0,0,0,0,×,×,×,×,×,○,×,×,×,60,4,6,5,2,2,1,3,4,3,0,0,0,600,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,45,45,47,34,34,35,35,○,×,×,×,×,×,×,×,×,0,0,AAM-4,ARAAM,1,10,AAM-3,IRAAM,1,8,20mm火神砲,航空戰,2,6,,,,,,,,,2,2,3,0,0,13,17,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,101
7,F-15J 鷹式,○,高空,高空,戰鬥機,0,10,2,3,10,0,0,0,0,×,×,×,×,×,○,×,×,×,50,3,5,4,2,2,1,2,2,0,0,0,0,550,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,44,44,46,34,34,35,35,○,×,×,×,×,×,×,×,×,0,0,AIM-7M 麻雀,AAM,1,10,AAM-3,IRAAM,1,8,1000lbs炸彈,攻擊_3,1,16,20mm火神砲,航空戰,2,6,,,,,2,2,0,3,0,13,17,0,120,0,2,3,3,0,12,16,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,102
9,F-15 Ｂａｚ,○,高空,高空,戰鬥機,0,10,2,3,10,0,0,0,0,×,×,×,×,×,○,×,×,×,50,3,5,4,2,2,1,2,2,0,0,0,0,600,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,44,44,46,34,34,35,35,○,×,×,×,×,×,×,×,×,0,0,AIM-7M 麻雀,AAM,1,10,巨蟒4,IRAAM,1,8,導引炸彈,航空C,1,20,20mm火神砲,航空戰,2,6,,,,,2,2,0,3,0,13,17,0,120,0,2,2,3,0,12,16,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,226
10,F-15 鷹式,○,高空,高空,戰鬥機,0,10,2,3,10,0,0,0,0,×,×,×,×,×,○,×,×,×,50,3,5,4,2,2,1,2,2,0,0,0,0,550,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,44,44,46,34,34,35,35,○,×,×,×,×,×,×,×,×,0,0,AIM-7M 麻雀,AAM,1,10,AIM-9L響尾蛇,IRAAM,1,8,1000lbs炸彈,攻擊_3,1,16,20mm火神砲,航空戰,2,6,,,,,2,2,0,3,0,13,17,0,120,0,2,2,3,0,12,16,0,90,4,0,0,3,0,13,17,0,110,0,0,0,0,0,0,0,0,0,10,0,1,1,203
4977,F-15FX,○,高空,高空,戰鬥機,0,10,2,3,12,0,0,0,0,×,×,×,×,×,○,×,×,×,70,5,5,4,2,2,1,3,4,3,0,0,0,850,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,42,42,45,38,38,36,36,○,×,×,×,×,×,×,×,×,0,0,AAM-4,ARAAM,1,10,AAM-5,IRAAM,1,8,導引炸彈,航空,1,20,20mm火神砲,航空戰,2,6,,,,,2,4,0,3,0,13,17,0,140,0,2,3,3,0,12,16,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4977,0,1,1,203
11,F-16 Block60,○,高空,高空,戰鬥機,0,10,2,3,10,0,0,0,0,×,×,×,×,×,○,×,×,×,70,4,4,3,2,2,1,3,3,3,0,0,0,560,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,無,無,41,41,45,35,35,34,34,○,×,×,×,×,×,×,×,×,0,0,AIM-120 AMRAAM,ARAAM,1,10,AIM-9L響尾蛇,IRAAM,1,8,導引炸彈,航空C,1,20,20mm火神砲,航空戰,2,6,,,,,1,2,0,3,0,13,17,0,110,0,1,2,3,0,12,16,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,1,240
